param,+15%,+20%,+25%,-15%,-20%,-25%,abs_swing
coal,6152.48,,,-6152.48,,,6152.48
gas,,,7928.13,,,-7928.13,7928.13
hydro,17.84,,,-17.84,,,17.84
india_adani,1924.23,,,-1924.23,,,1924.23
india_bheramara_hvdc,1054.82,,,-1054.82,,,1054.82
india_tripura,63.86,,,-63.86,,,63.86
liquid_fuel,,5204.4,,,-5204.4,,5204.4
nepal,17.49,,,-17.49,,,17.49
solar,176.14,,,-176.14,,,176.14
wind,12.15,,,-12.15,,,12.15
