date,gen_mwh,latent_mwh,suppression_pct,censored
2016-04-23,174308.5,186328.61,6.895882515769447,0
2016-04-24,174433.0,201253.45,15.375790776401255,0
2016-04-25,171503.0,197154.3,14.956762782575229,0
2016-04-26,165215.0,193502.56,17.12166722149926,0
2016-04-27,167194.5,193265.4,15.593160211609835,0
2016-04-28,174157.5,194936.55,11.931181186569617,0
2016-04-29,173296.5,187705.52,8.314660495162919,0
2016-04-30,173050.0,193456.25,11.792112106327647,0
2016-05-01,144385.5,178833.7,23.858492109664752,0
2016-05-02,128195.5,159909.4,24.738704751726857,0
2016-05-03,147540.0,170886.48,15.823833790836384,0
2016-05-04,153737.5,162305.44,5.573095373607617,0
2016-05-05,162372.5,177742.45,9.46585975149732,0
2016-05-06,147667.5,164879.31,11.655789188548592,0
2016-05-07,140707.5,159677.94,13.482179343673927,0
2016-05-08,149116.0,172187.17,15.471962683414265,0
2016-05-09,171430.5,175932.9,2.6263740991247175,0
2016-05-10,172189.0,178764.47,3.8187507622438055,0
2016-05-11,166827.0,187139.27,12.175646403160156,0
2016-05-12,167417.5,189352.42,13.101928935147168,0
2016-05-13,122710.0,144328.53,17.617579048162323,0
2016-05-14,139317.0,172952.61,24.143219689628694,0
2016-05-15,160721.0,180072.06,12.040158100061603,0
2016-05-16,165015.0,190215.58,15.271689316122771,0
2016-05-17,168071.0,189703.27,12.870909094965821,0
2016-05-18,155661.0,183965.47,18.18340416032276,0
2016-05-19,156457.0,149027.66,-4.748489201505846,0
2016-05-20,142807.0,142619.19,-0.13151491173402086,0
2016-05-21,112827.5,118772.49,5.2690985686113745,0
2016-05-22,141611.5,159033.55,12.302706259731732,0
2016-05-23,149410.0,175140.25,17.221236865002343,0
2016-05-24,161179.0,182228.58,13.05975227852263,0
2016-05-25,146924.0,192510.1,31.026989293784535,0
2016-05-26,151739.0,174880.2,15.250662733377718,0
2016-05-27,147748.5,168770.95,14.228539122224593,0
2016-05-28,153064.5,170105.52,11.133225290645443,0
2016-05-29,163748.5,183038.47,11.780241498395405,0
2016-05-30,167954.5,190098.61,13.18458831111997,0
2016-05-31,167599.0,186716.4,11.406635033621914,0
2016-06-01,164145.0,183625.94,11.86812726552744,0
2016-06-02,177497.5,188410.33,6.148158776884172,0
2016-06-03,173167.5,177391.75,2.4394011578385166,0
2016-06-04,176585.5,183841.45,4.109031106744321,0
2016-06-05,179943.5,195657.34,8.732654277592689,0
2016-06-06,182518.0,190326.27,4.278079764735532,0
2016-06-07,176236.0,178590.83,1.33617883122632,0
2016-06-08,177051.0,179023.28,1.113962219925324,0
2016-06-09,179535.5,177192.4,-1.3050865984721716,0
2016-06-10,170517.5,170032.53,-0.2844099579222048,0
2016-06-11,163874.0,165594.1,1.0496440863102086,0
2016-06-12,150786.0,175250.86,16.224887837730286,0
2016-06-13,155964.0,165388.14,6.0425102106896444,0
2016-06-14,169000.0,170933.25,1.1439349112426056,0
2016-06-15,175178.5,178858.77,2.1008660452053185,0
2016-06-16,177561.5,179580.03,1.1368068246776497,0
2016-06-17,171188.5,175437.97,2.4823330714387914,0
2016-06-18,176957.5,176644.56,-0.17684330983428476,0
2016-06-19,183770.5,180692.05,-1.6751617506618355,0
2016-06-20,183283.5,184044.06,0.4149650677775174,0
2016-06-21,186189.0,185081.84,-0.5946410636503807,0
2016-06-22,184632.0,182409.58,-1.2037035156419296,0
2016-06-23,183701.5,176872.47,-3.7174607991769304,0
2016-06-24,176845.0,176581.58,-0.14895636008934732,0
2016-06-25,184663.0,184187.34,-0.2575807010608555,0
2016-06-26,190096.0,190319.92,0.11779410140140278,0
2016-06-27,190055.0,191121.66,0.5612355633895394,0
2016-06-28,190176.5,189844.05,-0.17481293692964694,0
2016-06-29,193117.5,191852.86,-0.6548555283700352,0
2016-06-30,193015.5,190419.4,-1.3450182757343332,0
2016-07-01,184676.5,180979.52,-2.00187050057804,0
