,MAPE,RMSE,MAE,mean_signed_dev_pct,DM_stat,DM_p
Seasonal naive (t-364),8.916,33443.5,25674.2,-5.722,-8.944,0.0
Ridge,4.141,16410.2,12227.5,2.958,-8.828,0.0
Random Forest,3.892,14543.1,11158.5,-2.465,-8.03,0.0
XGBoost,4.533,16555.3,13053.8,-3.816,-8.842,0.0
MLP,2.408,9984.7,6931.9,-1.024,,
LSTM,4.502,17292.5,12745.9,-1.166,-8.062,0.0
DCG-blind (ablation),2.333,9772.1,6585.8,-0.339,0.876,0.381
DCG censoring-aware (proposed),10.468,34954.9,29845.5,10.313,-19.589,0.0
