date,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR,dewpoint,apparent_temp,CDD,HDD,CDD_at,THI
2015-04-01,28.13064646586588,34.520374237942896,22.437645922617257,62.32319188748718,2.844553630711656,4.588565346773707,2.3973803343997107,20.245423038988143,29.97521660476837,6.13064646586588,0.0,7.97521660476837,77.46189431700677
2015-04-02,27.612322689684316,33.45958833826282,23.17391742620873,71.78238244703326,3.249342669161587,4.799938184342368,23.15005130681475,22.056193468836092,30.093609245231868,5.612322689684316,0.0,8.093609245231868,77.9739781549928
2015-04-03,28.90336572704775,34.933972354680996,23.418826582966137,67.99300114685822,2.429285326250981,4.977544341160138,7.532731936983159,22.39909423482505,32.14435200636158,6.903365727047749,0.0,10.14435200636158,79.3839662067628
2015-04-04,29.145200096577536,35.70997645922618,24.12439125973321,67.87277237882539,3.422373392889479,5.097607533047626,10.608047322991489,22.60032289849306,31.801144191176498,7.145200096577536,0.0,9.801144191176498,79.72413617561443
2015-04-05,27.403838353353056,32.06868473471359,23.868253757469667,77.63711112452467,2.761350274642361,4.127646375324441,21.18666867869862,23.147544531255836,30.82590481176387,5.403838353353056,0.0,8.82590481176387,78.41887511552872
2015-04-06,27.354947787770875,31.98054083418845,23.918406470694755,74.45642723486449,1.4303126697651958,4.0915709603428505,18.969182109011893,22.409891311092682,31.299794777790915,5.354947787770875,0.0,9.299794777790915,77.92974950313301
2015-04-07,27.704732299148915,32.92508420353715,22.983196716363857,72.57567393010201,1.5484414800507036,5.344567459407256,8.907492605782581,22.32550533650701,31.521414405805444,5.704732299148915,0.0,9.521414405805444,78.21978497002242
2015-04-08,27.648576688597817,33.04343634936923,23.220685700488925,71.96705015995654,1.494257862014849,5.413935105933483,7.399457354982798,22.133167602949936,31.399594879095773,5.648576688597817,0.0,9.399594879095773,78.05347118184176
2015-04-09,28.285792841190325,34.635628659383116,22.89710207038088,66.93639886521399,2.1293861290517295,5.971020178668438,0.4457602462727108,21.554303050754836,31.28743026939391,6.285792841190325,0.0,9.287430269393909,78.32328395472874
2015-04-10,28.58819460373031,35.53505885193457,22.458111909217116,62.29157964628478,2.248355163880003,6.61661609826764,0.10816683768938251,20.668493288969966,31.05754689109378,6.588194603730312,0.0,9.057546891093779,78.10860622493679
2015-04-11,28.698548922556892,35.13347920564979,22.38021548862196,65.2664393070562,1.9159008873060905,6.056438365425245,2.0697537272891893,21.533086955868264,31.83893999041797,6.698548922556892,0.0,9.83893999041797,78.69099289237585
2015-04-12,28.128980503410396,32.32220981469186,24.356175529667414,69.84301684070743,1.420700790728557,5.271866264260277,2.7630361562141603,22.10133456585765,31.91484560404396,6.128980503410396,0.0,9.914845604043961,78.49191856778268
2015-04-13,27.65345143960887,31.673934930886706,24.638331019496597,70.23651898352148,1.252092714432305,5.198193716424217,1.600175650389328,21.738658966414413,31.364900776349693,5.653451439608869,0.0,9.364900776349693,77.83152408803977
2015-04-14,28.24400253516026,33.099171244039354,23.528954548198225,64.34696324017625,1.2650763566125431,5.7023540592744615,0.2854463692883444,20.87114502609248,31.502284629824906,6.244002535160259,0.0,9.502284629824906,77.90339725039685
2015-04-15,28.193701937586766,32.734309168829604,24.435172934146195,63.329391561538,1.2402836965051005,5.596013569143478,0.013071165570109254,20.564562350505195,31.317093102801472,6.193701937586766,0.0,9.317093102801472,77.69042906095518
2015-04-16,28.70623830506429,34.28925937103881,24.120049495986,61.17079676465263,1.6075638317136476,4.626957632643205,0.0005492847226413955,20.484908824104213,31.533777606858436,6.706238305064289,0.0,9.533777606858436,78.1162306023092
2015-04-17,28.583427898835033,34.284280799179086,23.921231967163642,59.704992454880184,2.1907164845777753,3.8914775698678095,0.3212699945675138,19.97691268443355,30.75700700412947,6.583427898835033,0.0,8.75700700412947,77.73495687591085
2015-04-18,28.264562684855438,33.56697289792962,23.71707309712078,68.21151626727833,2.8395116798454763,5.968091271805398,11.222863523872759,21.843015121638203,30.920190239364004,6.264562684855438,0.0,8.920190239364004,78.4688785790515
2015-04-19,28.66750467797429,34.392256896239516,24.085703506971694,72.37259189955938,2.7088519345687216,5.224875288223577,15.06350938612905,23.203942013086895,32.159348786550595,6.667504677974289,0.0,10.159348786550595,79.6597666772203
2015-04-20,29.406765859841858,34.70560330778053,24.573936741715464,70.34607291603791,2.4858447516146556,5.52136671093137,6.1354940544455845,23.44182332543519,33.191098588850615,7.406765859841858,0.0,11.191098588850615,80.48208314197691
2015-04-21,29.81402426510533,35.43823806362046,25.108758375083,71.88416369891955,3.43799299812881,5.2133717752157915,6.893797307901248,24.191733323025204,33.37145295494798,7.814024265105331,0.0,11.371452954947983,81.33146184740376
2015-04-22,29.2215627452164,34.10915253214222,25.625352206193035,76.40583630108047,3.87558882115048,4.519107231242832,13.665519406048167,24.64050811203916,32.74336191164541,7.221562745216399,0.0,10.743361911645408,81.1017891645451
2015-04-23,28.614867507696022,33.19843121868775,25.174447395424647,78.18128085954005,3.4305903301744434,5.890427379730791,14.29528882718658,24.43735493701699,32.32402168229332,6.614867507696022,0.0,10.32402168229332,80.40525949616014
2015-04-24,26.833539566608323,30.390247479929982,24.191067181746853,80.71381662340798,2.6343671153497916,5.003857548137864,13.580083298122776,23.237133589873494,30.39475478333356,4.833539566608323,0.0,8.39475478333356,77.90241597887777
2015-04-25,25.826226836482167,29.382620872819466,22.927936258827792,79.67560391139011,1.9070652501961731,2.8838500694151024,7.78475825436108,22.043767502968077,29.239027256682228,3.826226836482167,0.0,7.239027256682228,76.16489670543822
2015-04-26,25.960297579525566,29.64852357095431,22.10906380153317,72.58442264743165,1.3453455664875964,4.216306030059758,0.6092986056618579,20.651423005517508,29.05134373936672,3.960297579525566,0.0,7.051343739366722,75.5592133180441
2015-04-27,27.204067724995475,31.717265648578508,22.36108529003441,68.42782821271203,1.323181626124223,5.556569849701214,1.7872879821331566,20.883524401569307,30.427086886493157,5.204067724995475,0.0,8.427086886493157,76.9247996470956
2015-04-28,27.427737067664633,32.38445765678759,22.766013158688963,70.70097181143238,1.8167127421983462,5.745357198044306,2.9307436470091144,21.630493495982606,30.68721215811943,5.4277370676646335,0.0,8.68721215811943,77.5529263660088
2015-04-29,27.50508480714674,31.83219291362347,23.72295527252973,76.71524174563892,2.175661857910304,5.913575505523027,5.832754874147403,23.047933206611912,31.281064385991698,5.505084807146741,0.0,9.281064385991698,78.457665336491
2015-04-30,28.074636928834437,32.727417154584415,23.845717993601742,75.60918090179271,1.9346357216152594,5.653043954850004,4.273418241081669,23.357905138033207,32.19556314441905,6.074636928834437,0.0,10.195563144419047,79.19899051625333
2015-05-01,28.85028430011469,33.64742741594737,24.561281463149637,73.89094344178187,2.0943604756443537,5.529334936922798,7.641557312730127,23.72411908187688,33.07146463216911,6.850284300114691,0.0,11.07146463216911,80.15767883946619
2015-05-02,28.527373694694283,32.91605118609284,25.048339470030783,77.7663783424881,2.6925689623951232,4.918019285326252,4.133849218325587,24.26369486048606,32.64847048878951,6.527373694694283,0.0,10.648470488789513,80.20824583302851
2015-05-03,28.789403633729705,33.46780950081487,24.697713526890805,75.61168165630473,1.9485314178789164,6.26873384438945,2.2871515663668744,24.048544476882014,33.30330291210938,6.789403633729705,0.0,11.30330291210938,80.31159297476022
